"country","degree_centrality","closeness_centrality","betweenness_centrality"
"AU",44,0.0140845070422535,0.103925579195832
"BG",54,0.0153846153846154,0.0675574996995457
"HR",22,0.0114942528735632,0.00779962603204092
"CY",14,0.010989010989011,0.00451140832825325
"FI",40,0.0138888888888889,0.044007464958762
"GE",38,0.0136986301369863,0.032819277734492
"GR",12,0.010989010989011,0.00232817894753972
"HU",38,0.0138888888888889,0.0174669097022913
"ME",24,0.0114942528735632,0.010112028836868
"MK",34,0.012987012987013,0.0361931382945625
"RO",52,0.0153846153846154,0.0383091098537606
"RS",22,0.0114942528735632,0.00779962603204092
"SK",56,0.0158730158730159,0.0485489390579453
"BE",32,0.0131578947368421,0.0186580332151826
"IT",30,0.0126582278481013,0.00819538981841921
"LU",34,0.012987012987013,0.018115187386928
"MC",60,0.0161290322580645,0.117244621945699
"PT",10,0.00952380952380952,0.00125148140299655
"ES",24,0.0120481927710843,0.0093905646658129
"CH",38,0.0136986301369863,0.0302750550754934
"AZ",28,0.0125,0.00973815863897628
"AL",26,0.0125,0.00998554972052314
"AT",38,0.0138888888888889,0.013177425187597
"DK",46,0.0149253731343284,0.0464853102684114
"FR",16,0.0108695652173913,0.00982701342563025
"DE",46,0.0149253731343284,0.0464853102684114
"IE",6,0.00900900900900901,0
"MT",14,0.010752688172043,0
"PL",40,0.0138888888888889,0.014169262897633
"SM",14,0.010752688172043,0
"GB",8,0.0102040816326531,0.00168577914790036
"MD",36,0.0131578947368421,0.00510969726121241
"NL",20,0.0121951219512195,0.00424286681514168
"UA",46,0.0142857142857143,0.0631806646203395
"AM",8,0.00980392156862745,0
"BY",34,0.012987012987013,0.00349396589395549
"EE",28,0.0125,0.000412293935021208
"LV",34,0.012987012987013,0.00349396589395549
"LT",32,0.0128205128205128,0.00318568831295064
"RU",28,0.0125,0.000412293935021208
"IS",16,0.0106382978723404,0
"AD",14,0.0103092783505155,0.00185344504066529
"SI",8,0.00862068965517241,0
"SE",8,0.0102040816326531,0.0446127946127946
"NO",2,0.00704225352112676,0
"IL",2,0.0087719298245614,0
